stage,trial_id,score,mean_gap_pct,std_gap_pct,infeasible_rate,mean_runtime_ms,max_runs,population_size,generations,refinement_candidates,ils_iterations,ils_local_search_steps,elite_size,initial_mutation_rate,initial_scaling_factor,ls_every,ls_steps,stagnation_limit,datasets
stage1,35,14.055750,13.319754,3.679978,0.000000,9799.605,2,120,600,5,60,20,8,0.700809,0.368814,250,24,1352,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,28,271.164108,111.954945,296.045816,0.100000,12341.369,2,200,600,5,60,20,10,0.638147,0.332664,100,10,1797,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,26,272.289350,113.159761,295.647943,0.100000,12023.279,2,120,600,5,60,20,6,0.627634,0.576551,100,28,1656,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,36,320.841105,111.612411,296.143470,0.150000,12731.585,2,120,600,5,60,20,8,0.778282,2.488727,100,34,1555,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,12,488.997598,209.990133,395.037329,0.200000,17229.306,2,200,600,5,60,20,4,0.934206,1.059513,100,30,1352,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,18,491.112172,212.341377,393.853973,0.200000,15011.720,2,200,600,5,60,20,10,0.852641,2.092114,100,24,2156,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,2,491.517891,212.791704,393.630933,0.200000,19892.150,2,120,600,4,60,20,8,0.845443,1.594391,100,34,2351,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,27,491.958108,213.274741,393.416833,0.200000,13597.105,2,160,600,4,60,20,8,0.801010,2.408856,100,28,776,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,32,491.982490,213.309856,393.363171,0.200000,6124.342,2,80,600,5,60,20,6,0.789388,0.553835,100,5,304,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,21,539.809771,210.891539,394.591162,0.250000,9986.515,2,80,600,5,60,20,2,0.951235,1.888684,100,38,2442,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,15,540.979860,212.197993,393.909338,0.250000,13390.721,2,200,600,5,60,20,8,0.837634,0.799187,250,30,1870,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,11,542.277596,213.625887,393.258545,0.250000,12224.942,2,200,600,5,60,20,10,0.889572,0.707076,500,27,543,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,38,544.185560,215.752051,392.167545,0.250000,13912.166,2,200,600,5,60,20,2,0.898390,0.561658,750,22,1876,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,25,545.334146,217.029867,391.521393,0.250000,7137.065,2,80,600,4,60,20,2,0.871554,1.153350,250,13,1516,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,29,549.350668,221.345049,390.028095,0.250000,12219.004,2,120,600,5,60,20,2,0.693522,2.243155,100,37,300,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,40,646.570805,218.394972,390.879166,0.350000,6717.192,2,80,600,5,60,20,4,0.791043,2.412656,500,13,1166,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,7,700.600915,310.295573,451.526711,0.300000,8369.700,2,120,600,5,60,20,6,0.833819,0.561836,500,6,2471,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,8,700.692800,310.402246,451.452772,0.300000,16209.017,2,200,600,5,60,20,6,0.941584,1.014000,250,5,1381,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,13,700.731649,310.440486,451.455815,0.300000,13288.775,2,200,600,5,60,20,10,0.679745,2.273671,500,9,2346,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,10,700.738244,310.450497,451.438739,0.300000,15129.642,2,200,600,5,60,20,4,0.944695,2.875027,250,36,1696,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,3,701.260645,311.054373,451.031363,0.300000,16744.488,2,200,600,5,60,20,4,0.912844,2.509576,250,27,327,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,39,701.321581,311.123424,450.990785,0.300000,11022.130,2,160,600,5,60,20,10,0.791719,2.906071,500,23,1587,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,30,701.404274,311.219909,450.921826,0.300000,6680.079,2,80,600,5,60,20,4,0.778656,1.168897,500,35,1162,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,31,701.414726,311.230168,450.922786,0.300000,12527.087,2,200,600,4,60,20,8,0.957126,0.977292,500,25,1850,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,17,702.083770,312.001471,450.411494,0.300000,10403.784,2,120,600,5,60,20,2,0.948761,2.504451,250,31,616,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,5,702.106742,312.026936,450.399029,0.300000,7419.648,2,80,600,5,60,20,4,0.654556,1.872980,250,23,1184,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,33,702.228690,312.168113,450.302885,0.300000,10445.771,2,160,600,5,60,20,8,0.655043,1.752340,250,6,1893,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,20,702.369749,312.323487,450.231310,0.300000,8087.308,2,120,600,5,60,20,6,0.886591,0.828965,1000,5,557,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,22,702.518577,312.499388,450.095947,0.300000,8320.332,2,120,600,4,60,20,4,0.784182,0.889068,750,14,2005,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,14,702.872764,312.904454,449.841549,0.300000,8719.410,2,120,600,5,60,20,6,0.817304,1.591469,250,15,1142,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,6,702.986756,313.041340,449.727081,0.300000,13538.095,2,200,600,4,60,20,6,0.963189,1.439724,1000,28,1728,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,34,703.170541,313.249259,449.606410,0.300000,7914.934,2,120,600,4,60,20,8,0.852804,2.155932,750,28,426,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,23,703.371861,313.483299,449.442809,0.300000,14419.488,2,200,600,4,60,20,4,0.801055,1.336469,250,25,429,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,4,703.424940,313.539880,449.425302,0.300000,10593.322,2,120,600,5,60,20,2,0.701725,1.551768,500,40,1413,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,19,703.928425,314.117564,449.054305,0.300000,10839.514,2,160,600,4,60,20,6,0.779436,1.467699,1000,12,612,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,24,704.377882,314.635286,448.712983,0.300000,13882.634,2,200,600,5,60,20,6,0.959900,2.845469,750,28,993,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,16,704.653678,314.951295,448.511916,0.300000,9384.890,2,120,600,4,60,20,2,0.687505,2.088954,750,34,1981,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,37,752.820892,312.847029,449.869315,0.350000,12691.296,2,200,600,5,60,20,8,0.779571,1.361292,1000,32,1946,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,9,753.933505,314.124084,449.047101,0.350000,9258.987,2,120,600,5,60,20,10,0.971252,2.423046,1000,40,1565,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,1,757.112914,317.751196,446.808589,0.350000,10888.290,2,80,600,5,60,20,6,0.938686,2.973229,500,39,375,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,6,2.719701,2.481138,1.192812,0.000000,876604.016,8,200,3000,5,250,70,10,0.852641,2.092114,100,24,2156,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,1,2.753508,2.493208,1.301500,0.000000,461603.951,8,120,3000,5,250,70,8,0.700809,0.368814,250,24,1352,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,3,2.986548,2.656015,1.652662,0.000000,638796.230,8,120,3000,5,250,70,6,0.627634,0.576551,100,28,1656,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,2,3.191624,2.798305,1.966594,-0.000000,673707.052,8,200,3000,5,250,70,10,0.638147,0.332664,100,10,1797,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,10,3.306756,2.915897,1.954297,0.000000,629140.784,8,80,3000,5,250,70,2,0.951235,1.888684,100,38,2442,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,5,3.316088,2.957783,1.791525,0.000000,885964.283,8,200,3000,5,250,70,4,0.934206,1.059513,100,30,1352,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,9,3.397442,2.976978,2.102322,0.000000,340032.634,8,80,3000,5,250,70,6,0.789388,0.553835,100,5,304,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,7,3.442241,3.121098,1.605713,-0.000000,671972.477,8,120,3000,4,250,70,8,0.845443,1.594391,100,34,2351,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,8,3.487027,3.092164,1.974315,0.000000,752279.128,8,160,3000,4,250,70,8,0.801010,2.408856,100,28,776,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage2,4,3.574633,3.175818,1.994074,0.000000,635178.976,8,120,3000,5,250,70,8,0.778282,2.488727,100,34,1555,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
